id;nome;codigo_ibge;created_by;created_date;last_modified_by;last_modified_date
1;now charter;7;unto ottoman;2024-01-19T18:37:37;icky;2024-01-20T01:02:21
2;shirt escalate and;7;whereas which;2024-01-19T18:22:19;wrap that;2024-01-19T16:50:01
3;pace cornflakes;7;full;2024-01-19T23:33:05;cost bourgeoisie knowingly;2024-01-19T18:13:42
4;into eddy among;7;yowza enlist;2024-01-20T10:00:38;equivocate;2024-01-20T06:48:52
5;fussy busily;7;failing;2024-01-20T06:48:51;um stage zowie;2024-01-20T01:14:51
6;than zowie;7;aw;2024-01-19T19:16:33;eleventh;2024-01-20T14:50:28
7;enable plonk;7;bah fooey;2024-01-19T23:57:42;lizard gah drat;2024-01-20T06:19:43
8;inside enlist peppery;7;mysteriously however placode;2024-01-19T22:01:09;poll yum;2024-01-20T16:16:35
9;psychoanalyse equate;7;timely wonderfully coaxingly;2024-01-20T14:24:37;off silhouette;2024-01-20T16:13:12
10;verbally regime;7;reluctantly;2024-01-19T22:18:53;between afore ugh;2024-01-20T15:22:04
