id;valor_total;validade_em_dias;data_validade;observacao;cancelado;removido;created_by;created_date;last_modified_by;last_modified_date
1;1.14;4;2024-01-20;coevolution tuck alongside;true;false;acidly joke;2024-01-20T05:16:49;zowie who;2024-01-20T11:58:27
2;9.41;2;2024-01-19;midst;true;false;swiftly;2024-01-20T11:04:17;given immolate;2024-01-20T01:29:12
3;9.4;4;2024-01-19;reverse while;true;false;failing treasured privilege;2024-01-20T15:13:26;greedily;2024-01-20T12:40:30
4;9.55;3;2024-01-19;although mmm;true;true;direct worn;2024-01-20T07:27:19;refute;2024-01-19T19:54:58
5;8.43;1;2024-01-19;yowza mmm;true;true;limitation;2024-01-20T00:26:03;fooey important;2024-01-20T14:34:24
6;5.81;1;2024-01-20;laboratory perambulate incidentally;false;true;empty whoa;2024-01-20T01:59:04;quest;2024-01-20T06:13:40
7;2.35;3;2024-01-20;circa;false;false;correctly knowledgeably wink;2024-01-20T03:11:55;requirement though defiantly;2024-01-20T10:26:40
8;5.16;1;2024-01-20;decipher apud round;true;true;brilliant;2024-01-20T14:08:07;skinny shakily indeed;2024-01-20T13:30:12
9;8.44;2;2024-01-20;bespeak instrumentalist;true;true;unusual engineer;2024-01-20T12:16:27;hm;2024-01-20T03:18:59
10;8.44;2;2024-01-20;via uh-huh arctic;false;false;that midst locket;2024-01-20T05:53:46;kit shame bleakly;2024-01-20T00:17:40
