id;nome;sigla;codigo_ibge;created_by;created_date;last_modified_by;last_modified_date
1;yawningly boiling;va;7;midst;2024-01-20T02:09:15;once pencil;2024-01-19T22:25:41
2;live;pr;7;politely when likewise;2024-01-20T15:08:19;demoralise jackknife violent;2024-01-20T05:54:33
3;fooey pfft;ut;7;regarding;2024-01-19T20:35:14;indeed illustrious;2024-01-19T17:01:12
4;yet sweltering unnaturally;fu;7;including;2024-01-20T12:51:49;optimal;2024-01-20T01:39:19
5;thoroughly eek sanctity;pa;7;circa eek;2024-01-20T11:33:18;bridle;2024-01-20T12:54:38
6;hyperventilate unless;ne;7;yum into ill;2024-01-20T07:48:28;gladly;2024-01-20T06:26:14
7;unaware ick;bl;7;upside-down quintessential;2024-01-20T05:34:34;plant ouch gleefully;2024-01-19T20:01:06
8;rigidly;un;7;lipid;2024-01-20T14:47:23;happening;2024-01-20T10:16:46
9;yet comment inter;no;7;ick;2024-01-19T22:54:52;vulgarize however gadzooks;2024-01-20T13:08:11
10;acrobatic bitterly;ji;7;than;2024-01-20T05:50:57;pro even;2024-01-19T18:30:50
