id;tipo;data_fatura;data_vencimento;data_pagamento;numero_parcela;valor_total;observacao;cancelado;removido;created_by;created_date;last_modified_by;last_modified_date
1;EMBARCADOR;2024-01-19T17:44:32;2024-01-19T19:46:30;2024-01-19T18:36:50;3;8.25;rightfully till duh;true;true;scorch fooey eek;2024-01-20T05:43:52;cane;2024-01-20T11:35:27
2;EMBARCADOR;2024-01-20T02:43:27;2024-01-19T18:18:22;2024-01-20T01:41:53;1;7.57;secretion yum pace;true;false;dill;2024-01-19T22:43:23;resit;2024-01-19T17:23:43
3;TRANSPORTADORA;2024-01-20T03:27:28;2024-01-19T23:45:48;2024-01-20T13:16:30;4;2.17;upright via;false;true;slight;2024-01-20T09:05:13;within;2024-01-20T06:22:04
4;TRANSPORTADORA;2024-01-20T14:03:43;2024-01-20T11:23:11;2024-01-20T00:48:10;2;5.74;outside mesh carelessly;false;false;wry and;2024-01-20T13:12:50;truthfully;2024-01-19T18:10:01
5;EMBARCADOR;2024-01-20T04:01:09;2024-01-20T09:02:35;2024-01-20T16:20:28;2;4.17;playfully;true;true;threadbare current unique;2024-01-20T12:11:04;ferociously notwithstanding;2024-01-20T14:15:34
6;TRANSPORTADORA;2024-01-19T18:20:47;2024-01-20T09:57:55;2024-01-19T18:07:53;3;2.69;blah midst;true;false;duh;2024-01-20T06:08:24;where ruby husky;2024-01-20T03:21:52
7;EMBARCADOR;2024-01-20T08:20:56;2024-01-19T20:41:32;2024-01-20T15:11:35;1;2.61;delightfully;true;true;carpool;2024-01-19T19:58:58;yowza;2024-01-19T17:21:13
8;TRANSPORTADORA;2024-01-19T18:33:29;2024-01-19T21:46:43;2024-01-20T13:35:18;4;9.84;cruelly;true;false;doughnut;2024-01-19T18:38:48;while sweat excluding;2024-01-20T15:57:15
9;EMBARCADOR;2024-01-20T00:23:34;2024-01-20T03:07:37;2024-01-20T04:36:47;3;3.84;that close;true;true;coolly;2024-01-19T17:38:58;thoughtful;2024-01-19T19:16:42
10;EMBARCADOR;2024-01-19T21:14:40;2024-01-19T20:19:53;2024-01-20T03:39:27;4;1.3;fooey transit;false;true;above;2024-01-20T12:06:18;of round repeatedly;2024-01-19T20:22:33
