id;nome;descricao;created_by;created_date;last_modified_by;last_modified_date
1;bleakly;anxious;perfect;2024-01-20T11:25:00;mitigate whereas cruelly;2024-01-20T12:28:39
2;modulo phew;helpful regarding;summons yet;2024-01-19T18:36:41;heartfelt;2024-01-19T21:12:32
3;playfully for;impala;messy;2024-01-20T16:29:24;gee um;2024-01-20T06:20:18
4;woot;till highly;zowie;2024-01-20T01:18:23;yahoo aha oh;2024-01-20T01:54:17
5;exist;save;athwart until;2024-01-20T11:40:42;valuable rudely strident;2024-01-20T00:21:28
6;quicker out;perspective;whether eek carol;2024-01-19T22:29:08;ick instead;2024-01-19T21:13:27
7;while;strictly;rudely;2024-01-20T14:59:58;jaywalk;2024-01-20T03:36:50
8;gee inasmuch ouch;except blah healthily;which strut;2024-01-19T21:48:38;light whoa;2024-01-19T18:11:21
9;smooth;refuse;that;2024-01-20T10:32:18;target till worth;2024-01-20T08:37:40
10;considering;gracious;immense since;2024-01-20T16:51:14;boo;2024-01-20T08:07:32
