id;data_criacao;observacao;created_by;created_date;last_modified_by;last_modified_date
1;2024-01-19T18:39:41;quack probe;eek;2024-01-20T04:39:29;now provided debrief;2024-01-20T12:24:12
2;2024-01-20T07:36:37;till poorly;unto;2024-01-19T19:22:47;straight center;2024-01-20T09:35:19
3;2024-01-19T20:04:02;method shore;oversight beneath boo;2024-01-20T12:57:25;an until forenenst;2024-01-19T20:34:29
4;2024-01-20T00:13:20;sharply likely;vainly blah;2024-01-20T06:32:42;but usefully;2024-01-20T07:20:41
5;2024-01-20T10:30:17;likewise boo amongst;till;2024-01-20T14:27:25;outside dusk exchange;2024-01-20T05:03:34
6;2024-01-20T10:22:44;patiently;ornate;2024-01-20T12:10:23;slushy fervently whose;2024-01-20T05:48:16
7;2024-01-19T21:45:17;stencil into;last furthermore for;2024-01-19T20:22:49;list;2024-01-19T19:55:52
8;2024-01-20T00:15:41;finally regarding happy;aha;2024-01-20T06:31:32;woot frigid;2024-01-20T03:37:41
9;2024-01-20T06:35:03;deceivingly haul chili;distant quietly thunderous;2024-01-19T18:54:17;whereas;2024-01-20T16:18:09
10;2024-01-20T04:46:18;pouch stammer blather;astride a;2024-01-19T17:33:30;hmph wherever;2024-01-20T11:49:48
