id;nome;sigla;descricao;created_by;created_date;last_modified_by;last_modified_date
1;whoa;weari;titrate upon fast;boo green how;2024-01-20T01:57:13;unless yahoo unless;2024-01-20T01:09:22
2;yippee;save ;latch restate;loftily;2024-01-19T20:46:13;before the till;2024-01-20T16:22:20
3;example collude exit;bustl;trapezium ukulele longingly;bribe confused;2024-01-20T08:05:57;boohoo disparage;2024-01-20T00:19:32
4;phooey;hence;underneath shelter;but past whether;2024-01-20T01:19:14;meh impeccable inside;2024-01-20T03:55:33
5;throughout;towar;wet-bar fiesta;forgery clamour;2024-01-19T17:50:52;but transcend;2024-01-20T12:05:21
6;serene banish;knowi;loyal pecan;roll;2024-01-20T07:56:24;stiff blushing;2024-01-20T04:57:38
7;ha after;yahoo;over;drat up scandalize;2024-01-20T15:37:50;thread;2024-01-20T16:29:55
8;across;oof t;solemnly shakily;near;2024-01-20T09:13:48;diverge trumpet so;2024-01-20T02:55:43
9;huzzah;chast;following hence ick;auditorium shadowy;2024-01-19T19:50:03;inaugurate when;2024-01-20T02:53:47
10;sensor towards;serio;huzzah whoa pelt;burp;2024-01-20T14:29:18;pesky so naturally;2024-01-20T08:06:37
