id;data_hora_primeira_coleta;data_hora_ultima_coleta;data_hora_primeira_entrega;data_hora_ultima_entrega;valor_total;observacao;cancelado;removido;created_by;created_date;last_modified_by;last_modified_date
1;2024-01-20T16:57:25;2024-01-20T01:46:45;2024-01-20T13:55:00;2024-01-20T02:48:47;5.83;transmogrify within consolidate;false;false;brave;2024-01-19T17:03:54;obviate out;2024-01-20T08:28:20
2;2024-01-19T17:25:12;2024-01-19T21:27:14;2024-01-20T11:16:13;2024-01-20T16:34:53;3.85;luxurious;true;true;outside austere;2024-01-19T18:54:31;jealously amidst pure;2024-01-20T02:29:50
3;2024-01-20T13:44:28;2024-01-20T07:43:59;2024-01-20T05:57:27;2024-01-20T13:27:48;4.07;although;true;true;wonderful;2024-01-19T21:18:16;double;2024-01-20T12:39:50
4;2024-01-19T23:14:12;2024-01-20T12:12:40;2024-01-19T20:25:36;2024-01-19T23:01:19;3.87;extract slither;true;true;or noisy pyridine;2024-01-19T19:40:06;huzzah within;2024-01-20T13:17:15
5;2024-01-20T10:02:29;2024-01-20T03:41:42;2024-01-19T19:03:32;2024-01-19T19:27:51;5.08;round flag preclude;false;true;shyly;2024-01-20T10:17:49;track cheerfully wilted;2024-01-19T18:28:57
6;2024-01-20T06:53:07;2024-01-20T10:12:35;2024-01-20T09:58:51;2024-01-19T17:15:34;8.12;willfully when;false;true;beggar welcome;2024-01-20T07:01:07;blah fitting deceivingly;2024-01-20T09:00:48
7;2024-01-20T16:40:21;2024-01-20T16:37:46;2024-01-20T00:11:45;2024-01-20T06:12:43;7.34;batter;true;false;gosh;2024-01-19T21:31:06;foolishly ick pace;2024-01-20T01:11:58
8;2024-01-20T14:26:01;2024-01-20T09:09:47;2024-01-19T23:54:42;2024-01-19T20:43:14;5.05;inveigle eek;false;true;eclipse although starry;2024-01-19T18:23:05;plaintive media pro;2024-01-19T18:48:59
9;2024-01-20T13:45:16;2024-01-19T19:58:42;2024-01-20T10:41:37;2024-01-20T04:40:55;8.28;for;true;true;frank where fortunately;2024-01-20T08:41:22;damp tax that;2024-01-19T17:14:09
10;2024-01-20T12:56:57;2024-01-20T08:46:46;2024-01-20T01:22:28;2024-01-19T19:47:00;4.7;oof capital;false;false;gee bridge;2024-01-20T14:58:21;while shell psst;2024-01-20T15:59:08
