id;coletado;data_hora_coleta;entregue;data_hora_entrega;valor_total;observacao;cancelado;removido;created_by;created_date;last_modified_by;last_modified_date
1;true;2024-01-20T13:46:22;false;2024-01-20T08:31:18;4.65;palm triple;false;false;but geez meanwhile;2024-01-20T16:28:57;oddly grid;2024-01-20T13:26:18
2;true;2024-01-20T15:31:10;false;2024-01-20T05:20:03;3.68;now whenever;false;false;cofactor or spruce;2024-01-20T14:18:43;or beyond;2024-01-20T04:57:46
3;true;2024-01-20T03:26:45;false;2024-01-20T12:13:44;9.67;instead;true;false;oscillate pish bootie;2024-01-20T10:41:22;mom jut plane;2024-01-20T11:19:10
4;false;2024-01-20T02:29:35;true;2024-01-20T14:46:04;8.17;drummer;false;false;behind splutter;2024-01-19T23:16:53;meanwhile triumph;2024-01-20T14:51:50
5;true;2024-01-19T20:20:25;false;2024-01-20T11:46:17;9.17;provided if flay;true;false;root;2024-01-20T09:46:16;agitate;2024-01-20T01:03:58
6;true;2024-01-19T17:29:08;false;2024-01-20T15:14:07;8.29;round gadzooks um;true;true;network;2024-01-20T11:01:45;last woot;2024-01-20T11:23:52
7;true;2024-01-20T01:26:41;false;2024-01-20T07:46:08;1.47;for optimistically stained;true;false;viciously;2024-01-19T18:49:17;centralise;2024-01-20T05:15:43
8;false;2024-01-20T11:59:44;false;2024-01-19T18:51:51;6.08;beginner from;false;true;outlying;2024-01-19T20:15:13;ruckus fooey skunk;2024-01-20T07:12:20
9;true;2024-01-19T20:24:12;true;2024-01-20T10:39:33;8.07;greatly;false;false;soulful baptise;2024-01-20T09:15:10;gee;2024-01-19T18:06:06
10;false;2024-01-19T23:21:20;true;2024-01-19T19:01:25;9.89;when wherever;false;false;pronunciation regarding selfishly;2024-01-20T10:38:18;where;2024-01-20T10:50:25
