id;nome;cor;ordem;estado_inicial;estado_final;permite_cancelar;permite_editar;permite_excluir;descricao;ativo;removido;created_by;created_date;last_modified_by;last_modified_date
1;divide for;inexperi;1;false;false;false;true;true;hm;true;false;underneath immediately inside;2024-01-20T00:14:08;settle;2024-01-20T08:57:56
2;astride harrow;dull zeb;3;true;true;true;true;true;crossly westernise;true;true;indeed somber for;2024-01-20T00:26:46;molder;2024-01-19T17:05:35
3;raccoon authorized annul;circa am;1;false;true;true;true;false;blend ick;true;false;homestead;2024-01-19T18:31:55;graft;2024-01-19T23:43:07
4;win circular beyond;upward p;4;true;true;true;true;false;whenever;false;true;kneel once cylindrical;2024-01-20T09:50:04;equatorial;2024-01-20T07:33:49
5;annually whether;plow;2;true;false;true;true;false;besides;false;true;before critical yum;2024-01-20T07:45:53;roughly artifact what;2024-01-20T14:17:38
6;than weigh;slouch u;3;true;false;false;false;true;decline than nursery;true;false;interrelate yowza fond;2024-01-20T13:23:21;tether above;2024-01-19T17:18:07
7;since;unto;3;false;false;false;true;false;shoes brightly unnaturally;true;true;since nasalise cooperative;2024-01-20T12:08:46;caterpillar parachute till;2024-01-19T21:32:46
8;alarming surprisingly vice;than;3;true;false;true;true;false;phew which speedily;true;false;really;2024-01-20T13:19:15;typify unsightly;2024-01-20T12:30:54
9;liquidise true fooey;suspende;2;false;false;false;true;false;anxious frown ugh;false;true;bleakly;2024-01-20T02:45:20;beside treasured;2024-01-20T04:54:43
10;knowledgeably;positive;1;false;false;true;true;true;delightfully;false;false;victoriously oof dream;2024-01-20T01:18:23;interval;2024-01-20T02:50:10
