id;tipo;nome;descricao;lead_time;frete_minimo;valor_tonelada;valor_metro_cubico;valor_unidade;valor_km;valor_adicional;valor_coleta;valor_entrega;valor_total;valor_km_adicional;created_by;created_date;last_modified_by;last_modified_date
1;TRANSPORTADOR;before;rigidly ha;1;6.41;1.35;4.01;3.5;3.5;1.1;1.15;2.16;4.17;3.98;lest deselect;2024-01-20T03:06:09;yippee plain;2024-01-19T21:55:15
2;TRANSPORTADOR;properly;until pfft;2;4.97;3.42;6.96;5.25;8.24;7.66;5.56;2.08;5.89;8.76;sometimes redound annually;2024-01-20T07:51:15;by um er;2024-01-20T02:35:37
3;EMBARCADOR;readily knowingly limber;worriedly coordinator number;1;2.17;9.42;2.52;4.93;3.98;6.62;6.95;2.67;6.77;2.54;minus zowie yuck;2024-01-20T08:13:47;dreary;2024-01-20T13:47:50
4;TRANSPORTADOR;furthermore;successfully pike;4;8.03;6.31;6.08;2.83;4.32;9.62;3.66;4.24;6.48;1.47;whoever till sequence;2024-01-19T23:23:59;joyful flick however;2024-01-20T05:36:06
5;TRANSPORTADOR;yuck shoe worthwhile;whereas jagged calmly;4;6.97;2.17;7.39;1.75;4.55;9.61;8.8;6.47;9.2;3.24;mollify shape;2024-01-20T11:52:02;which;2024-01-19T19:08:26
6;EMBARCADOR;barring;ick at;3;9.79;6.8;2.57;8.15;6.93;5.4;1.63;5.14;3.68;9.93;complete;2024-01-20T15:50:16;that zowie discipline;2024-01-19T19:12:44
7;EMBARCADOR;elm hourly around;limitation muzzle omission;3;3.44;6.16;3.91;4.22;1.97;7.85;5.86;2.6;5.25;2.37;agonizing pretzel;2024-01-20T04:00:27;seldom;2024-01-20T14:13:04
8;EMBARCADOR;whether overstate hm;unless blah chrome;2;6.12;5.13;8.39;3.94;7.97;2.61;7.63;5.89;2.76;4.73;along;2024-01-20T10:34:35;interior;2024-01-20T10:00:19
9;TRANSPORTADOR;on after mechanically;tuition although down;1;1.32;1.49;5.93;6.12;8.91;1.72;5.32;9.97;5.81;7.24;precious;2024-01-19T17:59:04;formal whereas;2024-01-20T09:22:29
10;EMBARCADOR;knowledgeably nor;mould clever whoever;2;4.96;6.8;1.06;3.55;5.51;9.54;4.03;2.11;4.12;1.39;coaxingly paraphrase knobby;2024-01-20T00:53:12;shadowy;2024-01-19T18:31:20
