id;nome;descricao;created_by;created_date;last_modified_by;last_modified_date
1;summarise gum;towards;oasis well;2024-01-20T00:04:49;elevator merrily;2024-01-20T08:55:01
2;hit;wherever;excluding;2024-01-20T06:10:52;agitated;2024-01-20T10:41:35
3;for whirl;frightfully;debug;2024-01-19T21:01:23;athlete at far;2024-01-20T16:01:13
4;oh ripe steamroller;authorize;modulo;2024-01-20T14:04:37;underneath expectorate;2024-01-19T22:32:40
5;finally;but;spelling voluntarily ouch;2024-01-20T01:56:36;knowledgeable slow ready;2024-01-20T16:34:58
6;downright sympathetically;wherever;gleefully punctual;2024-01-19T22:50:42;ultimately marble;2024-01-20T07:31:45
7;after;shred maximum;daikon uh-huh under;2024-01-20T08:37:15;huzzah hybridise;2024-01-20T16:46:41
8;evil;used;transliterate knowing;2024-01-19T19:40:35;ew;2024-01-19T21:48:53
9;armament yoga ouch;curio snaggle;appetizer moonlight urban;2024-01-20T02:55:37;above gosh yet;2024-01-20T03:50:58
10;pace;shoreline where than;skivvy thoroughly hinder;2024-01-19T21:09:48;yowza lazily semiconductor;2024-01-20T10:00:35
