id;nome;descricao;created_by;created_date;last_modified_by;last_modified_date
1;redistrict;profuse properly marshal;yowza;2024-01-20T16:10:51;often during monthly;2024-01-20T07:16:53
2;interviewer;ellipse humiliate but;ha odd;2024-01-19T17:04:29;demur under but;2024-01-19T21:52:23
3;telegraph;upset;graceful aw;2024-01-20T04:34:46;loosely radiate;2024-01-20T07:21:53
4;nice that;fooey of;for knavishly;2024-01-20T15:36:40;hence;2024-01-20T07:36:04
5;doubtfully;eek;full;2024-01-20T02:41:53;foresee decline furiously;2024-01-20T03:59:17
6;goldfish scented;indeed;tie;2024-01-20T01:34:16;duh;2024-01-19T20:06:31
7;update thorny;absent where;when;2024-01-20T05:19:28;furthermore vice unethically;2024-01-20T04:32:30
8;barstool;gummy;willfully after;2024-01-19T19:44:38;handicap faraway;2024-01-20T09:16:08
9;zigzag;geez even generous;gee well zowie;2024-01-20T13:34:10;opposite ack;2024-01-20T08:26:56
10;midst;until clearly;full offensively without;2024-01-20T07:28:39;before bus;2024-01-20T02:17:39
