id;data_hora_envio;prazo_resposta;valor_total;observacao;aprovado;cancelado;removido;created_by;created_date;last_modified_by;last_modified_date
1;2024-01-19T17:16:15;3;9.28;that torn incidentally;false;false;false;except duh;2024-01-19T19:32:29;how anti collude;2024-01-20T01:31:10
2;2024-01-20T00:49:28;4;3.06;patiently;false;true;false;fragrant strict snake;2024-01-20T06:08:08;meh understated;2024-01-20T11:55:38
3;2024-01-19T17:20:33;4;8.87;snare ah although;true;true;true;scuff extroverted;2024-01-20T11:03:32;hmph under;2024-01-20T01:12:29
4;2024-01-20T03:29:55;4;2.98;yahoo;false;false;true;verbally;2024-01-19T18:46:21;neatly cereal;2024-01-20T07:06:12
5;2024-01-20T16:05:30;1;5.77;rise ack bleep;false;false;true;excepting clunk considering;2024-01-20T08:53:27;united;2024-01-20T02:39:45
6;2024-01-20T12:43:33;4;2.06;tidy teleconference before;true;true;true;as favorable shoo;2024-01-20T05:11:36;even midst;2024-01-19T17:52:26
7;2024-01-19T23:53:24;1;5.07;oof;false;false;false;blah aboard meh;2024-01-19T22:24:48;throughout for um;2024-01-19T18:36:20
8;2024-01-20T08:09:33;2;9.6;hideous deplete shorts;true;true;false;agitated um marginalise;2024-01-19T17:04:27;er;2024-01-19T17:42:13
9;2024-01-19T21:12:33;4;9.29;concerning;false;false;true;fooey;2024-01-20T10:54:06;hence persevere bottom;2024-01-19T17:07:44
10;2024-01-20T09:56:10;3;4.86;yet;false;true;false;loftily beautifully;2024-01-20T17:02:13;candid;2024-01-19T22:41:17
